Term,Total,slope,pvalue,weeks_present,first_seen,last_seen,score_up,score_down
grab,8,0.6071428571428572,0.25029350536784783,2,2025-10-13,2025-10-20,0.2023809523809524,-0.2023809523809524
start,8,0.6071428571428572,0.25029350536784783,2,2025-10-13,2025-10-20,0.2023809523809524,-0.2023809523809524
brand,7,0.6071428571428571,0.048690706164194755,2,2025-10-13,2025-10-20,0.21465741571734476,-0.21465741571734476
shopping,8,0.6071428571428571,0.006333138616406895,3,2025-10-06,2025-10-20,0.20238095238095236,-0.20238095238095236
self,7,0.6071428571428571,0.048690706164194755,2,2025-10-13,2025-10-20,0.21465741571734476,-0.21465741571734476
maybe,7,0.6071428571428571,0.048690706164194755,2,2025-10-13,2025-10-20,0.21465741571734476,-0.21465741571734476
best beauty,8,0.5714285714285715,0.36321746764912255,1,2025-10-13,2025-10-13,0.1904761904761905,-0.1904761904761905
wear,23,0.5714285714285714,0.2595559525141094,6,2025-09-08,2025-10-20,0.11664236870396087,-0.11664236870396087
worth,7,0.5714285714285714,0.1180221468339791,2,2025-10-13,2025-10-20,0.20203050891044214,-0.20203050891044214
gives,9,0.5714285714285714,0.11163737054948117,3,2025-09-29,2025-10-20,0.18070158058105024,-0.18070158058105024
feel like,7,0.5714285714285714,0.1180221468339791,2,2025-10-13,2025-10-20,0.20203050891044214,-0.20203050891044214
fun,7,0.5714285714285714,0.1180221468339791,2,2025-10-13,2025-10-20,0.20203050891044214,-0.20203050891044214
old,7,0.5714285714285714,0.1180221468339791,2,2025-10-13,2025-10-20,0.20203050891044214,-0.20203050891044214
women,8,0.5714285714285714,0.20649607521249372,2,2025-09-22,2025-10-20,0.19047619047619047,-0.19047619047619047
officially,6,0.5714285714285714,0.03674259800515242,2,2025-10-13,2025-10-20,0.21597969886241553,-0.21597969886241553
bold,8,0.5714285714285714,0.03674259800515247,3,2025-09-29,2025-10-20,0.19047619047619047,-0.19047619047619047
set,7,0.5714285714285714,0.1180221468339791,2,2025-10-13,2025-10-20,0.20203050891044214,-0.20203050891044214
collection,7,0.5714285714285714,0.1180221468339791,2,2025-10-13,2025-10-20,0.20203050891044214,-0.20203050891044214
morning,7,0.5714285714285714,0.1180221468339791,2,2025-10-13,2025-10-20,0.20203050891044214,-0.20203050891044214
face,10,0.5714285714285713,0.11483834757460316,3,2025-09-29,2025-10-20,0.17229219690157918,-0.17229219690157918
real,6,0.5357142857142857,0.034316599206396396,2,2025-10-13,2025-10-20,0.20248096768351456,-0.20248096768351456
fyp,5,0.5357142857142857,0.14381080871160368,1,2025-10-20,2025-10-20,0.21870444131992664,-0.21870444131992664
glowing,5,0.5357142857142857,0.14381080871160368,1,2025-10-20,2025-10-20,0.21870444131992664,-0.21870444131992664
lipstick,5,0.5357142857142857,0.14381080871160368,1,2025-10-20,2025-10-20,0.21870444131992664,-0.21870444131992664
