Term,Total,slope,pvalue,weeks_present,first_seen,last_seen,score_up,score_down,score
notes,19,2.035714285714285,0.14381080871160384,1,2025-11-24,2025-11-24,0.45519955256245703,-0.45519955256245703,0.45519955256245703
hidden,20,2.071428571428571,0.10240371820756702,2,2025-11-17,2025-11-24,0.4520227726316985,-0.4520227726316985,0.4520227726316985
eye,21,2.107142857142857,0.12034767535307728,2,2025-11-10,2025-11-24,0.44924436660646483,-0.44924436660646483,0.44924436660646483
products,21,2.107142857142857,0.12034767535307728,2,2025-11-10,2025-11-24,0.44924436660646483,-0.44924436660646483,0.44924436660646483
blood,22,2.142857142857143,0.047602767784610166,2,2025-11-17,2025-11-24,0.4468166015508745,-0.4468166015508745,0.4468166015508745
lip,23,2.178571428571429,0.09755452849526745,3,2025-11-03,2025-11-24,0.44469903068385086,-0.44469903068385086,0.44469903068385086
extra,18,1.9285714285714284,0.14381080871160384,1,2025-11-24,2025-11-24,0.4424446296075119,-0.4424446296075119,0.4424446296075119
feel,18,1.9285714285714284,0.14381080871160384,1,2025-11-24,2025-11-24,0.4424446296075119,-0.4424446296075119,0.4424446296075119
want,18,1.9285714285714284,0.14381080871160384,1,2025-11-24,2025-11-24,0.4424446296075119,-0.4424446296075119,0.4424446296075119
balm,17,1.8214285714285714,0.14381080871160368,1,2025-11-24,2025-11-24,0.4293148314346896,-0.4293148314346896,0.4293148314346896
free,17,1.8214285714285714,0.14381080871160368,1,2025-11-24,2025-11-24,0.4293148314346896,-0.4293148314346896,0.4293148314346896
menstrual,24,2.142857142857143,0.034316599206396396,2,2025-11-17,2025-11-24,0.42857142857142855,-0.42857142857142855,0.42857142857142855
don,16,1.7142857142857142,0.14381080871160384,1,2025-11-24,2025-11-24,0.4157753572051422,-0.4157753572051422,0.4157753572051422
early,16,1.7142857142857142,0.14381080871160384,1,2025-11-24,2025-11-24,0.4157753572051422,-0.4157753572051422,0.4157753572051422
pair,16,1.7142857142857142,0.14381080871160384,1,2025-11-24,2025-11-24,0.4157753572051422,-0.4157753572051422,0.4157753572051422
people,17,1.75,0.09557149918898114,2,2025-11-17,2025-11-24,0.41247895569215276,-0.41247895569215276,0.41247895569215276
nail,19,1.8214285714285712,0.13724441199640675,2,2025-11-03,2025-11-24,0.4072838101874616,-0.4072838101874616,0.4072838101874616
skincareroutine,19,1.8214285714285712,0.0393681286731267,2,2025-11-17,2025-11-24,0.4072838101874616,-0.4072838101874616,0.4072838101874616
trending,25,2.071428571428571,0.08566923608591123,4,2025-10-20,2025-11-24,0.4062405656433812,-0.4062405656433812,0.4062405656433812
india,20,1.857142857142857,0.0906205061435859,3,2025-11-03,2025-11-24,0.40526179615255725,-0.40526179615255725,0.40526179615255725
good,21,1.8928571428571428,0.055967806659792056,3,2025-11-03,2025-11-24,0.4035584988159769,-0.4035584988159769,0.4035584988159769
better,15,1.607142857142857,0.14381080871160384,1,2025-11-24,2025-11-24,0.40178571428571425,-0.40178571428571425,0.40178571428571425
dry,15,1.607142857142857,0.14381080871160384,1,2025-11-24,2025-11-24,0.40178571428571425,-0.40178571428571425,0.40178571428571425
know,15,1.607142857142857,0.14381080871160384,1,2025-11-24,2025-11-24,0.40178571428571425,-0.40178571428571425,0.40178571428571425
think,15,1.607142857142857,0.14381080871160384,1,2025-11-24,2025-11-24,0.40178571428571425,-0.40178571428571425,0.40178571428571425
vanilla,15,1.607142857142857,0.14381080871160384,1,2025-11-24,2025-11-24,0.40178571428571425,-0.40178571428571425,0.40178571428571425
day,16,1.6428571428571428,0.09278550982282335,2,2025-11-17,2025-11-24,0.3984513839882613,-0.3984513839882613,0.3984513839882613
says,18,1.7142857142857142,0.13707054085033976,2,2025-11-03,2025-11-24,0.3932841152066773,-0.3932841152066773,0.3932841152066773
list,14,1.5,0.14381080871160368,1,2025-11-24,2025-11-24,0.3872983346207417,-0.3872983346207417,0.3872983346207417
mask,16,1.5714285714285714,0.052943322459865785,2,2025-11-17,2025-11-24,0.38112741077138035,-0.38112741077138035,0.38112741077138035
period,16,1.5714285714285714,0.052943322459865785,2,2025-11-17,2025-11-24,0.38112741077138035,-0.38112741077138035,0.38112741077138035
period blood,16,1.5714285714285714,0.052943322459865785,2,2025-11-17,2025-11-24,0.38112741077138035,-0.38112741077138035,0.38112741077138035
going,21,1.75,0.04447543380753505,3,2025-11-10,2025-11-24,0.3731012536223182,-0.3731012536223182,0.3731012536223182
makes,13,1.3928571428571428,0.14381080871160384,1,2025-11-24,2025-11-24,0.3722567298065911,-0.3722567298065911,0.3722567298065911
men,13,1.3928571428571428,0.14381080871160384,1,2025-11-24,2025-11-24,0.3722567298065911,-0.3722567298065911,0.3722567298065911
shopping,13,1.3928571428571428,0.14381080871160384,1,2025-11-24,2025-11-24,0.3722567298065911,-0.3722567298065911,0.3722567298065911
women,21,1.6785714285714284,0.009069798267023326,4,2025-11-03,2025-11-24,0.3578726310254889,-0.3578726310254889,0.3578726310254889
bean,12,1.2857142857142856,0.14381080871160384,1,2025-11-24,2025-11-24,0.35659298328764727,-0.35659298328764727,0.35659298328764727
colors,12,1.2857142857142856,0.14381080871160384,1,2025-11-24,2025-11-24,0.35659298328764727,-0.35659298328764727,0.35659298328764727
favorite,12,1.2857142857142856,0.14381080871160384,1,2025-11-24,2025-11-24,0.35659298328764727,-0.35659298328764727,0.35659298328764727
fragrances,12,1.2857142857142856,0.14381080871160384,1,2025-11-24,2025-11-24,0.35659298328764727,-0.35659298328764727,0.35659298328764727
perfect,12,1.2857142857142856,0.14381080871160384,1,2025-11-24,2025-11-24,0.35659298328764727,-0.35659298328764727,0.35659298328764727
perfumes,12,1.2857142857142856,0.14381080871160384,1,2025-11-24,2025-11-24,0.35659298328764727,-0.35659298328764727,0.35659298328764727
thanks,12,1.2857142857142856,0.14381080871160384,1,2025-11-24,2025-11-24,0.35659298328764727,-0.35659298328764727,0.35659298328764727
body,13,1.3214285714285714,0.08224904425323473,2,2025-11-17,2025-11-24,0.3531666410985608,-0.3531666410985608,0.3531666410985608
actually,22,1.6428571428571428,0.09754729502104514,3,2025-11-03,2025-11-24,0.34255939452233714,-0.34255939452233714,0.34255939452233714
cashmere,11,1.1785714285714286,0.14381080871160384,1,2025-11-24,2025-11-24,0.34022426577245807,-0.34022426577245807,0.34022426577245807
doesn,11,1.1785714285714286,0.14381080871160384,1,2025-11-24,2025-11-24,0.34022426577245807,-0.34022426577245807,0.34022426577245807
everyday,11,1.1785714285714286,0.14381080871160384,1,2025-11-24,2025-11-24,0.34022426577245807,-0.34022426577245807,0.34022426577245807
lip balm,11,1.1785714285714286,0.14381080871160384,1,2025-11-24,2025-11-24,0.34022426577245807,-0.34022426577245807,0.34022426577245807
right strong,11,1.1785714285714286,0.14381080871160384,1,2025-11-24,2025-11-24,0.34022426577245807,-0.34022426577245807,0.34022426577245807
really,12,1.2142857142857142,0.07778953814544999,2,2025-11-17,2025-11-24,0.3367822619938891,-0.3367822619938891,0.3367822619938891
safe,12,1.2142857142857142,0.07778953814544999,2,2025-11-17,2025-11-24,0.3367822619938891,-0.3367822619938891,0.3367822619938891
world,12,1.2142857142857142,0.07778953814544999,2,2025-11-17,2025-11-24,0.3367822619938891,-0.3367822619938891,0.3367822619938891
tips,11,1.1428571428571428,0.10599667879145529,2,2025-11-17,2025-11-24,0.329914439536929,-0.329914439536929,0.329914439536929
tiktok,25,1.6785714285714284,0.15977475639865937,4,2025-10-20,2025-11-24,0.3291949411248089,-0.3291949411248089,0.3291949411248089
beautytrends,10,1.0714285714285714,0.14381080871160368,1,2025-11-24,2025-11-24,0.323047869190461,-0.323047869190461,0.323047869190461
blankets,10,1.0714285714285714,0.14381080871160368,1,2025-11-24,2025-11-24,0.323047869190461,-0.323047869190461,0.323047869190461
come,10,1.0714285714285714,0.14381080871160368,1,2025-11-24,2025-11-24,0.323047869190461,-0.323047869190461,0.323047869190461
facial,10,1.0714285714285714,0.14381080871160368,1,2025-11-24,2025-11-24,0.323047869190461,-0.323047869190461,0.323047869190461
goodness,10,1.0714285714285714,0.14381080871160368,1,2025-11-24,2025-11-24,0.323047869190461,-0.323047869190461,0.323047869190461
goodness right,10,1.0714285714285714,0.14381080871160368,1,2025-11-24,2025-11-24,0.323047869190461,-0.323047869190461,0.323047869190461
goodness right strong,10,1.0714285714285714,0.14381080871160368,1,2025-11-24,2025-11-24,0.323047869190461,-0.323047869190461,0.323047869190461
help,10,1.0714285714285714,0.14381080871160368,1,2025-11-24,2025-11-24,0.323047869190461,-0.323047869190461,0.323047869190461
music,10,1.0714285714285714,0.14381080871160368,1,2025-11-24,2025-11-24,0.323047869190461,-0.323047869190461,0.323047869190461
