Term,Total,slope,pvalue,weeks_present,first_seen,last_seen,score_up,score_down,score
week,5,0.46428571428571425,0.030714729184636674,2,2025-11-17,2025-11-24,0.1895438491439364,-0.1895438491439364,0.1895438491439364
cartoon,7,0.5357142857142857,0.23416146533120613,2,2025-11-17,2025-11-24,0.1894036021035395,-0.1894036021035395,0.1894036021035395
color,7,0.5357142857142857,0.23416146533120613,2,2025-11-17,2025-11-24,0.1894036021035395,-0.1894036021035395,0.1894036021035395
creativity,7,0.5357142857142857,0.006267499099451484,3,2025-11-10,2025-11-24,0.1894036021035395,-0.1894036021035395,0.1894036021035395
happens,7,0.5357142857142857,0.23416146533120613,2,2025-11-17,2025-11-24,0.1894036021035395,-0.1894036021035395,0.1894036021035395
started,7,0.5357142857142857,0.23416146533120613,2,2025-11-17,2025-11-24,0.1894036021035395,-0.1894036021035395,0.1894036021035395
effect,6,0.5,0.08855680204602329,2,2025-11-17,2025-11-24,0.1889822365046136,-0.1889822365046136,0.1889822365046136
resources,6,0.5,0.08855680204602329,2,2025-11-17,2025-11-24,0.1889822365046136,-0.1889822365046136,0.1889822365046136
design trends,51,1.3214285714285716,0.18675303087480774,6,2025-10-20,2025-11-24,0.18324917196726323,-0.18324917196726323,0.18324917196726323
latest,9,0.5714285714285714,0.2738937828454586,3,2025-10-27,2025-11-24,0.18070158058105024,-0.18070158058105024,0.18070158058105024
graphic design trends,18,0.7857142857142857,0.1068721891057498,4,2025-11-03,2025-11-24,0.18025521946972708,-0.18025521946972708,0.18025521946972708
fast,8,0.5357142857142857,0.2234845197385039,3,2025-11-03,2025-11-24,0.17857142857142858,-0.17857142857142858,0.17857142857142858
stunning,8,0.5357142857142857,0.034316599206396396,4,2025-11-03,2025-11-24,0.17857142857142858,-0.17857142857142858,0.17857142857142858
bring,7,0.5,0.36321746764912255,1,2025-11-17,2025-11-17,0.17677669529663687,-0.17677669529663687,0.17677669529663687
does,7,0.5,0.36321746764912255,1,2025-11-17,2025-11-17,0.17677669529663687,-0.17677669529663687,0.17677669529663687
fully,7,0.5,0.36321746764912255,1,2025-11-17,2025-11-17,0.17677669529663687,-0.17677669529663687,0.17677669529663687
natural,7,0.5,0.36321746764912255,1,2025-11-17,2025-11-17,0.17677669529663687,-0.17677669529663687,0.17677669529663687
page,7,0.5,0.36321746764912255,1,2025-11-17,2025-11-17,0.17677669529663687,-0.17677669529663687,0.17677669529663687
person,7,0.5,0.36321746764912255,1,2025-11-17,2025-11-17,0.17677669529663687,-0.17677669529663687,0.17677669529663687
place,7,0.5,0.36321746764912255,1,2025-11-17,2025-11-17,0.17677669529663687,-0.17677669529663687,0.17677669529663687
reading,7,0.5,0.36321746764912255,1,2025-11-17,2025-11-17,0.17677669529663687,-0.17677669529663687,0.17677669529663687
single,7,0.5,0.36321746764912255,1,2025-11-17,2025-11-17,0.17677669529663687,-0.17677669529663687,0.17677669529663687
social,7,0.5,0.36321746764912255,1,2025-11-17,2025-11-17,0.17677669529663687,-0.17677669529663687,0.17677669529663687
wrong,7,0.5,0.36321746764912255,1,2025-11-17,2025-11-17,0.17677669529663687,-0.17677669529663687,0.17677669529663687
alt height,6,0.4642857142857143,0.2129443764776025,2,2025-11-17,2025-11-24,0.17548350532571264,-0.17548350532571264,0.17548350532571264
alt height src,6,0.4642857142857143,0.2129443764776025,2,2025-11-17,2025-11-24,0.17548350532571264,-0.17548350532571264,0.17548350532571264
called,6,0.4642857142857143,0.2129443764776025,2,2025-11-17,2025-11-24,0.17548350532571264,-0.17548350532571264,0.17548350532571264
collective medium,6,0.4642857142857143,0.2129443764776025,2,2025-11-17,2025-11-24,0.17548350532571264,-0.17548350532571264,0.17548350532571264
collective medium people,6,0.4642857142857143,0.2129443764776025,2,2025-11-17,2025-11-24,0.17548350532571264,-0.17548350532571264,0.17548350532571264
continuing,6,0.4642857142857143,0.2129443764776025,2,2025-11-17,2025-11-24,0.17548350532571264,-0.17548350532571264,0.17548350532571264
continuing conversation,6,0.4642857142857143,0.2129443764776025,2,2025-11-17,2025-11-24,0.17548350532571264,-0.17548350532571264,0.17548350532571264
continuing conversation highlighting,6,0.4642857142857143,0.2129443764776025,2,2025-11-17,2025-11-24,0.17548350532571264,-0.17548350532571264,0.17548350532571264
control,6,0.4642857142857143,0.2129443764776025,2,2025-11-17,2025-11-24,0.17548350532571264,-0.17548350532571264,0.17548350532571264
conversation highlighting,6,0.4642857142857143,0.2129443764776025,2,2025-11-17,2025-11-24,0.17548350532571264,-0.17548350532571264,0.17548350532571264
conversation highlighting responding,6,0.4642857142857143,0.2129443764776025,2,2025-11-17,2025-11-24,0.17548350532571264,-0.17548350532571264,0.17548350532571264
height,6,0.4642857142857143,0.2129443764776025,2,2025-11-17,2025-11-24,0.17548350532571264,-0.17548350532571264,0.17548350532571264
height src,6,0.4642857142857143,0.2129443764776025,2,2025-11-17,2025-11-24,0.17548350532571264,-0.17548350532571264,0.17548350532571264
height src width,6,0.4642857142857143,0.2129443764776025,2,2025-11-17,2025-11-24,0.17548350532571264,-0.17548350532571264,0.17548350532571264
