Term,Total,slope,pvalue,weeks_present,first_seen,last_seen,score_up,score_down,score
graphic design tutorial,5,0.5357142857142857,0.14381080871160382,1,2026-08-10,2026-08-10,0.21870444131992664,-0.21870444131992664,0.21870444131992664
line,5,0.5357142857142857,0.14381080871160382,1,2026-08-10,2026-08-10,0.21870444131992664,-0.21870444131992664,0.21870444131992664
lot,5,0.5357142857142857,0.14381080871160382,1,2026-08-10,2026-08-10,0.21870444131992664,-0.21870444131992664,0.21870444131992664
scale,5,0.5357142857142857,0.14381080871160382,1,2026-08-10,2026-08-10,0.21870444131992664,-0.21870444131992664,0.21870444131992664
specific,5,0.5357142857142857,0.14381080871160382,1,2026-08-10,2026-08-10,0.21870444131992664,-0.21870444131992664,0.21870444131992664
trick,5,0.5357142857142857,0.14381080871160382,1,2026-08-10,2026-08-10,0.21870444131992664,-0.21870444131992664,0.21870444131992664
good,11,0.75,0.2730514471445225,2,2026-06-29,2026-08-10,0.21650635094610968,-0.21650635094610968,0.21650635094610968
way,11,0.75,0.18832991007032357,4,2026-06-29,2026-08-10,0.21650635094610968,-0.21650635094610968,0.21650635094610968
effect,6,0.5714285714285714,0.03674259800515245,2,2026-08-03,2026-08-10,0.21597969886241553,-0.21597969886241553,0.21597969886241553
later,6,0.5714285714285714,0.03674259800515245,2,2026-08-03,2026-08-10,0.21597969886241553,-0.21597969886241553,0.21597969886241553
says,6,0.5714285714285714,0.03674259800515245,2,2026-08-03,2026-08-10,0.21597969886241553,-0.21597969886241553,0.21597969886241553
tested,6,0.5714285714285714,0.03674259800515245,2,2026-08-03,2026-08-10,0.21597969886241553,-0.21597969886241553,0.21597969886241553
try,6,0.5714285714285714,0.03674259800515245,2,2026-08-03,2026-08-10,0.21597969886241553,-0.21597969886241553,0.21597969886241553
worth,6,0.5714285714285714,0.03674259800515245,2,2026-08-03,2026-08-10,0.21597969886241553,-0.21597969886241553,0.21597969886241553
digital,19,0.9642857142857144,0.17236272457224622,4,2026-06-29,2026-08-10,0.21562084068747975,-0.21562084068747975,0.21562084068747975
outside,10,0.7142857142857142,0.08406868158551731,3,2026-07-27,2026-08-10,0.215365246126974,-0.215365246126974,0.215365246126974
online,8,0.6428571428571428,0.14381080871160395,2,2026-08-03,2026-08-10,0.21428571428571427,-0.21428571428571427,0.21428571428571427
sense,12,0.75,0.11498311486527471,4,2026-07-06,2026-08-10,0.20801257358446093,-0.20801257358446093,0.20801257358446093
billion,5,0.5,0.06693300214386128,2,2026-08-03,2026-08-10,0.20412414523193154,-0.20412414523193154,0.20412414523193154
future,5,0.5,0.06693300214386128,2,2026-08-03,2026-08-10,0.20412414523193154,-0.20412414523193154,0.20412414523193154
img alt height,5,0.5,0.06693300214386128,2,2026-08-03,2026-08-10,0.20412414523193154,-0.20412414523193154,0.20412414523193154
